,property_id,status,list_price,price_reduced_amount,last_sold_date,last_sold_price,type,beds,baths,baths_full,lot_sqft,sqft
114,2130105579,for_sale,1300000,200000.0,2004-02-25,520000.0,single_family,3.0,3.0,3.0,7200,2048.0
115,2786566219,for_sale,1150000,,2013-01-02,520000.0,multi_family,2.0,2.0,2.0,4996,2114.0
116,1787966961,for_sale,1700000,50000.0,2016-08-31,1380000.0,multi_family,,4.0,4.0,6499,
117,1152341464,for_sale,1200000,200000.0,1983-12-29,9090.0,multi_family,,4.0,4.0,7279,
118,2157831440,for_sale,5299000,376000.0,1977-12-14,330000.0,single_family,6.0,6.0,6.0,14218,6620.0
119,2195097383,for_sale,1135000,15000.0,2013-04-22,505000.0,condos,2.0,3.0,2.0,118840,1574.0
120,2267467843,for_sale,2699999,99001.0,2021-07-09,2495000.0,single_family,4.0,4.0,1.0,6464,3130.0
121,2151123570,for_sale,825000,25000.0,2002-09-24,180000.0,multi_family,5.0,3.0,2.0,4347,1538.0
122,2151123570,for_sale,825000,25000.0,2002-09-24,180000.0,multi_family,,3.0,3.0,4347,
123,2128279548,for_sale,1850000,49000.0,2022-08-10,1850000.0,single_family,4.0,3.0,2.0,8703,3134.0
124,1059792398,for_sale,3150000,100000.0,2000-08-22,465000.0,land,,,,875804,
125,2080392812,for_sale,4050000,,1989-07-13,1400000.0,multi_family,21.0,21.0,1.0,8494,15606.0
126,9396647887,for_sale,6250000,250000.0,,,multi_family,,9.0,9.0,6896,
127,1614543582,for_sale,2399000,,1982-12-07,135000.0,land,,,,9004,
128,2017271213,for_sale,620000,5000.0,2026-02-20,620000.0,condos,2.0,2.0,2.0,7510,1220.0
129,2134279364,for_sale,2200000,,2002-10-01,296000.0,single_family,10.0,11.0,11.0,7784,3370.0
130,2190588204,for_sale,975000,125000.0,1993-08-27,157000.0,single_family,4.0,2.0,2.0,6142,1575.0
131,1354246937,for_sale,2200000,,1978-06-30,84000.0,multi_family,,4.0,4.0,7906,
132,2210488217,for_sale,3295000,,2017-02-27,2092500.0,single_family,4.0,3.0,3.0,7004,2881.0
